repo_id,treatment_date
2579069,2012-06-23
3328572,2024-10-29
3607308,2017-04-04
12256376,2025-11-11
15480067,2026-04-13
16554395,2019-05-06
19117456,2026-03-17
21088356,2025-09-29
22328073,2015-02-01
22887404,2025-04-08
25427817,2015-03-18
26631293,2026-01-05
26860954,2014-11-16
26936089,2017-12-30
27105154,2023-01-03
28407613,2025-07-10
28457823,2025-09-22
28566982,2025-04-26
30027024,2025-06-23
31084646,2025-08-25
31341340,2024-12-29
31598574,2025-10-27
31681575,2025-07-06
31764022,2023-05-08
34526884,2025-03-21
35030133,2025-08-11
36029706,2025-08-16
36502584,2021-04-22
37448451,2025-02-18
38331796,2025-10-10
38460192,2017-05-12
39443258,2026-04-09
39464018,2025-07-22
40345658,2025-04-08
40705341,2024-11-12
41376392,2025-05-30
41523595,2017-01-30
41923638,2026-05-05
42033086,2016-05-20
43355108,2026-02-20
43903882,2016-09-20
44207815,2026-02-13
45373657,2016-08-02
45936895,2025-02-27
46142401,2016-06-30
46539448,2026-04-24
46591278,2016-03-15
46743486,2016-01-27
47093357,2016-06-16
47711273,2016-09-08
47776025,2018-08-06
48384473,2026-03-26
50334710,2026-04-27
51951143,2016-04-11
53261245,2016-03-23
54173593,2025-02-05
56315715,2018-05-25
56363563,2019-01-24
58462216,2019-07-19
58885535,2018-08-30
59435364,2024-10-03
59816990,2016-09-20
60334478,2017-09-15
60492769,2025-11-21
60537144,2025-05-26
60692320,2019-06-07
61051957,2026-04-27
61404796,2026-03-26
61412022,2016-07-14
63226588,2025-05-27
63241430,2018-08-16
65750241,2026-01-15
65794292,2026-01-07
66506962,2016-11-30
66571349,2025-05-02
66962179,2026-04-16
68187142,2016-10-13
68968979,2026-03-24
70718525,2026-02-09
71260457,2015-09-25
71487058,2020-10-05
71939872,2016-11-09
72454242,2018-09-06
72717562,2025-06-30
73479510,2017-05-25
75236196,2018-12-08
75510908,2017-07-15
76222279,2025-12-17
78393496,2017-06-27
79375056,2025-11-10
79723839,2025-12-17
80149262,2025-11-22
80472692,2025-12-21
81160818,2026-02-27
81299823,2017-05-11
81861029,2024-02-12
82206054,2025-04-14
82920852,2023-03-30
85095608,2026-04-13
85225460,2026-04-17
85344269,2018-08-03
85566485,2026-04-24
87825228,2026-01-10
88315752,2025-06-30
88623212,2017-05-16
89225374,2018-07-05
91023477,2020-03-16
91116029,2024-11-08
91800758,2018-08-23
92277707,2023-06-07
93050066,2026-04-25
94061307,2023-04-27
94367677,2025-11-07
94911145,2025-02-28
95433249,2018-02-06
97406578,2023-05-15
97530717,2017-08-31
97640205,2019-02-11
97698189,2025-06-03
99553207,2017-12-29
100061716,2025-05-01
100310240,2018-11-17
100374462,2017-06-17
101189319,2019-07-10
101394335,2025-12-02
101936721,2023-01-26
102235307,2020-04-27
104133653,2025-04-05
104890644,2023-06-08
106006714,2025-11-05
106518101,2025-11-04
107282126,2018-02-16
107422373,2026-03-19
108383378,2026-05-09
108403413,2018-06-23
108469351,2017-09-29
108873775,2026-04-26
111667959,2023-03-23
112675900,2019-11-23
115242995,2021-01-16
116817549,2025-10-21
117788382,2025-06-13
119513899,2018-10-29
119847449,2025-05-20
121522380,2025-04-25
121553660,2020-08-31
121687054,2017-10-13
121806807,2018-02-27
121814210,2025-01-31
121953928,2022-01-14
122890563,2019-04-17
123198469,2026-05-07
123215934,2018-08-28
124470321,2018-09-13
126741221,2025-05-06
127246132,2025-05-12
128193054,2026-04-10
128528936,2026-04-29
128624453,2020-06-24
133213463,2020-04-10
133833318,2018-08-06
133894816,2019-09-09
133968906,2025-04-14
136938012,2025-10-01
137336510,2018-09-20
138132664,2018-12-03
138225704,2022-12-06
139113100,2025-09-11
139280657,2025-02-04
139387028,2023-08-29
139435578,2026-04-22
140103904,2020-06-15
140472901,2018-09-27
140883594,2022-03-13
142967010,2016-11-04
145464445,2025-05-26
146879015,2021-09-06
146916092,2025-05-09
147973047,2025-11-17
150124987,2025-06-10
150581418,2018-11-10
151019419,2019-02-27
151103020,2026-02-10
152059191,2026-02-14
153190636,2019-04-29
153315627,2019-06-11
153783368,2022-03-22
155360607,2026-03-27
156630873,2025-08-07
156734327,2025-07-25
157846876,2025-04-24
158992367,2024-02-07
164407724,2019-05-15
164768889,2023-07-20
165670309,2026-03-25
166587886,2025-05-29
166780923,2019-03-03
167417059,2025-11-06
168429268,2020-01-08
169659078,2025-07-09
169659080,2025-04-15
169908427,2025-04-15
170228946,2026-04-28
170797156,2025-12-02
170884642,2025-09-26
171368195,2020-02-04
171484595,2025-12-31
172521926,2019-05-23
174343762,2026-03-29
174542973,2026-04-28
179377705,2021-06-23
180394085,2019-08-02
182085192,2025-09-08
182125529,2019-05-05
182762208,2019-05-03
183895098,2025-12-26
184473410,2025-10-04
184680614,2022-11-15
184860203,2025-10-29
186519945,2020-06-22
187759179,2020-05-09
187953797,2026-04-27
189330249,2025-12-16
189649243,2025-07-16
189662255,2025-05-12
191051391,2023-12-21
192062777,2025-05-21
192721247,2025-05-12
193905444,2019-07-01
194027578,2026-04-07
196846946,2026-04-06
197018189,2025-10-13
198488459,2024-09-30
198995767,2025-11-28
199488444,2025-07-14
200798968,2025-11-28
201514509,2025-12-23
201570219,2023-03-23
201946779,2020-05-11
202770236,2019-08-16
202890778,2026-03-04
203082145,2021-12-03
203314283,2021-03-20
204869037,2020-10-06
206103703,2025-12-21
206973196,2020-07-13
207455372,2021-10-09
207645083,2020-04-26
208362715,2025-10-20
209737322,2019-10-29
210463284,2026-02-24
210912285,2021-07-13
211644266,2021-05-05
221667950,2019-12-07
223158336,2026-04-22
225260962,2024-10-17
227635919,2023-12-22
229500920,2018-05-21
233847520,2024-10-10
234739976,2026-04-10
235509343,2022-03-21
235600443,2026-05-05
237222619,2025-08-14
242169831,2020-04-08
243869354,2020-11-12
245195204,2021-03-13
246564698,2026-03-17
246931260,2026-02-23
248581239,2020-04-24
249995750,2026-01-21
250676452,2021-02-20
250817872,2022-06-09
252658769,2022-08-08
252878746,2026-04-08
255566762,2026-03-02
256611814,2025-09-26
256847634,2025-10-24
257314632,2025-06-25
258080286,2024-11-20
258290984,2025-10-28
259586079,2022-10-05
260240241,2025-05-07
262526191,2020-06-25
262879465,2024-09-10
262932920,2025-08-31
262985799,2021-11-19
265662387,2025-03-06
266412451,2022-02-15
270268844,2026-03-04
271965695,2022-11-21
274495425,2025-11-17
274765273,2025-07-29
274976294,2021-10-06
275048224,2025-11-18
275993885,2026-03-20
277930226,2020-09-16
278648935,2023-04-20
280531604,2025-07-28
280557054,2025-09-05
280584529,2021-05-01
283728680,2025-03-18
284712323,2025-10-20
284871753,2021-02-12
285853238,2026-01-05
286299736,2020-08-27
286531410,2025-11-08
286700649,2025-05-07
286867459,2026-01-13
288540467,2025-05-24
289402593,2020-10-18
293962244,2021-07-17
294419498,2026-01-27
295992065,2022-06-10
296827945,2021-04-11
297660114,2024-04-24
299319925,2021-01-31
299516036,2024-04-26
301207725,2025-07-05
301690023,2026-03-18
301851393,2020-11-11
303766501,2021-07-07
304740870,2022-06-12
305234033,2021-12-30
307905007,2025-06-17
310912783,2025-10-30
311841662,2020-12-23
313391773,2021-06-26
313420182,2026-02-12
314533356,2025-08-08
316012819,2020-12-14
316086701,2021-04-02
316878004,2025-07-09
319070424,2026-04-26
320307811,2019-08-21
320936419,2026-05-07
323076240,2022-04-10
323164178,2021-06-13
323199744,2024-12-29
323296748,2022-07-01
323793116,2025-06-14
324935660,2025-12-25
326075865,2021-01-02
326404870,2025-11-24
327089870,2025-05-01
327628682,2025-05-27
330226609,2021-08-13
330583823,2022-11-12
331293626,2022-06-02
331411128,2025-11-25
331962505,2025-02-05
332906349,2022-03-29
332926781,2021-02-19
332949224,2025-05-20
333723456,2026-02-23
335130719,2022-07-01
335402819,2026-03-03
336297190,2021-12-24
337414495,2026-02-16
337888217,2026-03-04
343261217,2024-01-02
348257762,2021-05-07
351548334,2022-06-23
353582645,2025-07-22
353775942,2026-03-02
354877486,2022-10-02
358128846,2023-08-05
359634377,2021-11-11
360238600,2025-02-02
362806180,2026-04-24
362987107,2021-11-08
365739812,2025-06-05
370740787,2025-04-16
372496835,2023-03-29
373775141,2021-08-12
375822193,2025-07-16
376770864,2022-05-09
376807007,2025-04-30
376861015,2021-08-19
379348282,2021-08-15
380002519,2025-02-12
382327668,2021-07-20
382378702,2026-01-12
383169156,2021-08-12
383777434,2025-08-12
387802502,2026-03-12
392870971,2022-06-14
393190287,2025-05-27
393493377,2023-03-04
396413969,2022-05-27
398326371,2026-02-04
398753576,2025-03-05
399055485,2021-10-15
399216294,2023-04-17
399618999,2023-07-24
400215964,2025-12-23
401896836,2025-07-29
407293674,2025-07-14
409447446,2025-04-25
413830263,2022-03-27
419046329,2026-02-15
420032474,2026-04-30
420733850,2023-01-09
420868305,2022-11-11
420981115,2025-07-24
421001366,2021-11-08
421119898,2023-10-25
421141825,2021-12-08
421704909,2022-07-04
423547045,2026-05-06
424699742,2022-11-08
425845325,2024-07-31
426239986,2022-06-06
428201637,2022-02-25
428249739,2022-04-29
429559926,2026-01-29
429788984,2026-03-18
430749584,2026-01-06
433816152,2022-06-24
433874407,2022-01-07
434469478,2024-01-30
435742357,2022-08-04
436596112,2025-11-27
438331492,2025-04-03
438782840,2025-03-10
441125179,2026-05-01
441328097,2023-02-14
441978674,2022-03-26
442718852,2022-03-06
443164354,2023-02-05
443220240,2026-02-10
444635962,2022-06-23
446459287,2023-04-12
448725523,2024-04-21
449707141,2022-07-06
452058305,2026-02-05
453717720,2022-04-20
454149532,2025-08-18
455478145,2025-11-17
460077424,2023-03-09
461238719,2022-07-16
461893894,2024-08-24
462808010,2025-09-19
464618881,2023-06-29
464827989,2022-09-08
465199957,2022-11-10
465625814,2022-03-20
469267771,2026-01-26
469730870,2026-02-18
471244721,2025-12-12
471728341,2025-04-13
473914810,2025-04-02
473937582,2025-10-13
476099912,2023-05-29
477299478,2025-12-19
480890311,2022-05-09
481196344,2025-03-31
481336489,2022-05-04
482719022,2022-08-29
487896156,2023-01-10
489174535,2022-05-24
490861517,2026-02-18
491459489,2023-10-25
498974343,2021-01-31
499134828,2026-03-21
500289888,2025-01-15
500504564,2024-06-09
501218027,2022-10-05
508114310,2023-08-24
509585066,2022-09-01
511099665,2025-07-09
511858894,2022-10-18
511970027,2026-03-19
522522530,2025-09-10
523016004,2022-10-04
523184984,2023-09-13
524712019,2025-01-25
526156868,2022-09-26
527885047,2022-11-24
527998852,2025-12-05
528828149,2025-05-09
529729250,2025-04-18
529870579,2025-12-18
530557416,2025-09-10
536443300,2023-03-16
538271895,2022-09-26
538633339,2026-03-25
538665344,2025-03-28
541135881,2025-06-07
541201936,2025-06-22
541621765,2026-02-11
542017915,2025-05-30
543838169,2025-06-20
543985411,2022-10-19
546358763,2024-05-15
546684767,2025-12-07
549694131,2025-05-06
550054675,2025-06-19
550389909,2025-10-22
555049071,2022-11-02
557759254,2025-06-13
561272642,2025-10-21
561519546,2023-01-25
561560709,2026-04-14
566800722,2025-07-07
566850397,2026-03-27
567307948,2025-06-11
568098118,2025-07-31
568990949,2026-02-03
572149789,2023-05-18
572984571,2025-02-24
574866649,2023-10-01
575291015,2026-05-11
576223889,2026-02-03
577076286,2025-06-27
579689245,2026-04-01
581285293,2022-12-28
